2024-11-30 22:46:40 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/emergencies/who-in-emergencies/health-emergency-appeal
2024-11-30 22:46:40 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/emergencies/who-in-emergencies/international-health-regulations
2024-11-30 22:46:40 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/emergencies/who-in-emergencies/independent-oversight-and-advisory-committee
2024-11-30 22:46:40 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data
2024-11-30 22:46:40 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-at-who
2024-11-30 22:46:40 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-at-who/data-hub
2024-11-30 22:46:40 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-at-who/global-health-estimates
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-at-who/mortality
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-at-who/health-inequality
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/dashboards
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/dashboards/triple-billion-progress
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/dashboards/health-inequality-monitor
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/dashboards/delivery-for-impact
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/dashboards/covid-19-dashboard
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-collection
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-collection/classifications
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-collection/score
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-collection/surveys
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-collection/civil-registration-and-vital-statistics
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-collection/routine-health-information-systems
2024-11-30 22:46:41 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-collection/harmonized-health-facility-assessment
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/data-collection/gis-centre-for-health
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/reports
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/reports/world-health-statistics
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/data/reports/uhc-global-monitoring-report
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/about
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/about/partnerships-and-collaboration
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/about/expert-groups
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/about/collaborating-centres
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/about/teams
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/about/structure
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/about/who-we-are
2024-11-30 22:46:42 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/our-work
2024-11-30 22:46:43 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/our-work/activities
2024-11-30 22:46:43 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/our-work/initiatives
2024-11-30 22:46:43 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/our-work/global-programme-of-work
2024-11-30 22:46:43 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/our-work/who-academy
2024-11-30 22:46:43 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/who-funding
2024-11-30 22:46:43 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/about-us/who-funding/investment-case
